Feature,Chi2_Score,F_Score,RF_Importance,Abs_Correlation,Chi2_Score_Normalized,F_Score_Normalized,RF_Importance_Normalized,Abs_Correlation_Normalized,Average_Score
PDIa1-R3,71148006.65995742,68.90967619845806,0.004614826070816586,0.006762700660655834,0.05302872566912561,0.006421661415870712,0.03998540698785358,0.03509035324000558,0.03363153682821387
PAIa14-3,358470.4013155912,11.093814989200176,0.011803467967297487,0.0029641703785923935,0.0002671785735966476,0.001022211272780238,0.11746513795412995,0.01470072689701809,0.03336381367438123
PAIa14-R3,1673190.305131963,24.96560889836488,0.010113670412264596,0.004988823705182602,0.0012470784258741608,0.0023177045516344394,0.099252370947957,0.025568594661082824,0.032096437146637104
PAIa14-R1,360646.9535875376,11.122085168513653,0.011291753637829378,0.0029853905153978317,0.0002688008227491579,0.0010248514379623645,0.11194984185930203,0.014814631651826293,0.03201453144295996
PAIa14-1,362020.21912134526,11.123916011530223,0.01117653219753552,0.002973253349755585,0.0002698243584009798,0.001025022421242403,0.11070797638261369,0.014749482171913781,0.03168807633354271
PAIa22-2,2967.481144925126,1123.7658808628996,0.0022684929202066266,0.0008165233498776703,2.211672321137816e-06,0.10493517251969335,0.014696449228598718,0.0031726575700748694,0.03070162274767202
CI4a12-2,719011.7812941275,15.903258209391415,0.0102384158799559,0.003579088606451071,0.000535900788842157,0.0014713674098730963,0.10059688711876752,0.018001464805238634,0.030151405030680353
CI4a22-2,597153.0396933216,13.751786675113756,0.00987821342753244,0.0033154382957577277,0.000445075843888687,0.001270440483582661,0.09671459759745685,0.016586251309209953,0.028754091308534534
CI2a11-2,1472912.3662283176,29.421985464845058,0.008353507045281244,0.0056575650644576725,0.0010978053204952543,0.0027338876298810275,0.08028119585056805,0.029158242609950355,0.02831778285272367
CI3a22-4,599356.9852381874,261.07678078545115,0.005874786062459459,0.006486734840499331,0.0004467185100623508,0.02436823660574914,0.05356535193246834,0.033609032955948095,0.027997335001056983
CI2a11-1,1492594.0509039834,29.30093628199276,0.007203084223525378,0.005634875924110185,0.0011124746655399851,0.0027225827904476547,0.0678818508823977,0.029036452586078922,0.025188340231116067
PDIa1-R1,35360429.88059937,67.9488887277384,0.003632321163732199,0.006829043511884455,0.026355180149911245,0.006331933027540037,0.029395894118780186,0.03544646622229966,0.02438236837963278
CI2a22-2,916347.257770174,20.514374754655087,0.007464042270373804,0.004373944223480119,0.0006829807894466041,0.0019020017266398596,0.0706944766265176,0.02226806473320951,0.023886880968953392
CI4a23,46306.73554304682,11.600818895183217,0.0075202451530498645,0.004232115919234878,3.451370780357057e-05,0.0010695606031447783,0.07130023558516067,0.021506763410412338,0.02347776832663034
CI2a22-4,897208.9604204945,20.601238319230678,0.007280216839321258,0.0043767722582467765,0.0006687164471396565,0.0019101139552976578,0.06871319210187277,0.022283244965534996,0.023393816867461267
CI4a13,95165.16613743754,11.098676385736075,0.0075506301148676605,0.004089655705423907,7.092934947977777e-05,0.0010226652808616255,0.07162772702248153,0.020742070144160445,0.023365847949245847
CI2a12-3,488367.48008756904,10.349871775534691,0.00817380166069394,0.0025588795216782874,0.0003639947303540338,0.0009527340703748523,0.0783443175011497,0.012525219919561853,0.02304656655536011
PDIa1-2,37179517.477103114,71.81378238958128,0.002847773396794917,0.00667027895030327,0.027711000246587014,0.006692877242483693,0.02093997841344359,0.034594255012497195,0.022484527728752875
CI4a11,607778.7363364855,12.508638173386005,0.007416083500331297,0.0029267726822891547,0.0004529954916712737,0.0011543422673640676,0.07017757334299389,0.014499984768592215,0.02157122396765536
CI4a21,546234.9162500801,11.44134081991526,0.007480910121535396,0.0028000893931920358,0.00040712505186413017,0.0010546668715923115,0.07087627961361855,0.013819978361696397,0.021539512474692844
CI1a2,10488.576072991847,24.294779553753308,0.006257966572212595,0.005085330043224685,7.817368095259981e-06,0.0022550554874331396,0.05769530070926404,0.02608661821922047,0.021511197946003226
